EMOJI,SIZE (in cm),INFO
😂,26,
🫀,12,risna
🚗,180,karce
🛻,190,beirkarce
🚒,230,fagda'acarce
🥚,7,tsiju le jipci
🐋,26 * 100,tcetace .i fi le ka clani vau (in length)
💍,2,se dasni djine
☕️,10,kabri
👌,18,xance
🌸,5,
💋,4,ctebi
🧜‍♀️,200,mermaide
🍀,5,trifoli
🌷,12,xrula le tujli
🏃,165,remna
🌝,3474km,lunra
🌎,12742km,terdi
🐉,1600,drakono
🦘,160,kanguru
🍪,6,titnanba
🍶,17.5,
🎲,1.9,kelkubli
🦩,105,fagycpi
🏠,700,dinju
🧉,14,patxu lei ierbamatei
